Rank,Overall,Conference,Regional,Player,Position,Age,Team,GP,MPG,FGM,FG%,FT%,3PM,3P%,PTS,TREB,AST,STL,BLK,TO,DD,Total
111,154,156,158,Santi Aldama,,24.6,MEM,65,25.5,4.8,0.483,0.690,1.9,0.369,12.5,6.4,2.9,0.8,0.4,1.1,0.2,1.08
112,67,45,78,Fred VanVleet,PG,31.5,HOU,60,35.2,4.8,0.378,0.815,2.7,0.345,14.1,3.7,5.6,1.6,0.4,1.5,0.1,1.06
113,140,139,139,Aaron Nesmith,SF,25.8,IND,45,25.0,4.3,0.507,0.910,1.9,0.432,12.0,4.0,1.2,0.8,0.4,0.8,0.0,1.05
114,217,218,218,Ty Jerome,PG,28.1,CLE,70,19.9,4.6,0.516,0.872,1.6,0.440,12.5,2.5,3.4,1.1,0.0,1.3,0.0,1.04
115,124,121,124,Jaden Ivey,PG/SG,23.5,DET,30,29.9,6.3,0.460,0.731,2.1,0.409,17.6,4.1,4.0,0.9,0.4,3.0,0.0,1.01
116,85,88,91,Jalen Green,SG,23.5,HOU,82,32.9,7.4,0.423,0.812,2.9,0.354,21.0,4.6,3.4,0.9,0.3,2.5,0.0,0.90
117,169,170,170,Quentin Grimes,SG,25.3,PHI,75,26.8,5.1,0.467,0.758,2.2,0.385,14.6,4.3,3.0,1.0,0.3,1.9,0.1,0.82
118,54,61,58,Jalen Suggs,PG/SG,24.2,ORL,35,28.6,5.6,0.410,0.882,2.2,0.314,16.2,4.0,3.7,1.5,0.9,2.9,0.0,0.82
119,142,140,140,Keon Ellis,SG,25.6,SAC,80,24.4,2.8,0.491,0.843,1.7,0.435,8.3,2.6,1.5,1.5,0.8,0.9,0.0,0.77
120,143,141,141,Donte DiVincenzo,PG/SG,28.5,MIN,62,25.9,4.0,0.421,0.775,2.8,0.398,11.7,3.7,3.6,1.2,0.3,1.6,0.0,0.61
121,93,95,69,Zach Edey,C,23.3,MEM,66,21.5,3.8,0.579,0.708,0.3,0.342,9.2,8.3,1.0,0.5,1.3,1.3,0.2,0.60
122,230,231,231,Tyus Jones,PG,29.3,PHO,81,26.8,3.8,0.448,0.900,2.1,0.414,10.2,2.4,5.3,0.9,0.1,1.1,0.1,0.58
123,234,235,235,Kelly Oubre Jr.,SG/SF,29.7,PHI,60,34.6,5.8,0.470,0.753,1.2,0.293,15.1,6.1,1.8,1.5,0.5,1.3,0.2,0.55
